R_squared,P_values,Betas
2.220446049250313e-16,[2.96475208e-108],[1332.21279488]
0.0,[2.08061271e-108],[1251.74409993]
0.0,[4.81247818e-107],[1159.92171463]
0.0,[6.20746527e-113],[1135.98756319]
-2.220446049250313e-16,[7.53109619e-117],[1135.83723719]
0.0,[1.10226565e-116],[1129.10779287]
2.220446049250313e-16,[5.03822565e-113],[1133.60995902]
1.1102230246251565e-16,[1.12558347e-116],[1113.89454322]
0.0,[3.69867287e-109],[1101.96810135]
2.220446049250313e-16,[8.48716971e-98],[1180.61906403]
1.1102230246251565e-16,[4.13692933e-78],[1196.4573448]
0.0,[1.76770609e-89],[1542.79177198]
1.1102230246251565e-16,[1.21522786e-107],[1593.98626111]
2.220446049250313e-16,[2.88164673e-95],[1471.20675599]
0.0,[9.28576446e-101],[1404.42929496]
1.1102230246251565e-16,[9.02599061e-108],[1416.27076871]
2.220446049250313e-16,[1.71334233e-117],[1421.19582472]
0.0,[7.77551004e-114],[1395.06308402]
-2.220446049250313e-16,[3.50599907e-103],[1414.69740684]
2.220446049250313e-16,[5.41082061e-103],[1394.13832721]
0.0,[3.79148988e-100],[1325.95511403]
1.1102230246251565e-16,[3.28950412e-102],[1236.67331591]
-2.220446049250313e-16,[8.29675052e-107],[1115.99423158]
0.0,[2.97661106e-111],[1101.07303634]
-2.220446049250313e-16,[8.74305131e-112],[1135.5590557]
0.0,[4.39860811e-111],[1114.97832654]
1.1102230246251565e-16,[4.07779861e-107],[1086.84362554]
0.0,[1.14805279e-112],[1105.62492341]
-4.440892098500626e-16,[1.51330785e-105],[1116.44715792]
0.0,[3.03872431e-101],[1110.75488042]
0.0,[2.52164385e-57],[384.78316483]
0.0,[2.75804145e-67],[813.41274247]
0.0,[8.54869789e-73],[1264.38769531]
2.220446049250313e-16,[4.4047622e-80],[1467.95637063]
3.3306690738754696e-16,[2.99086659e-94],[1446.25775745]
2.220446049250313e-16,[1.91238793e-109],[1412.82611204]
0.0,[1.29005375e-107],[1426.96541102]
4.440892098500626e-16,[1.39337007e-110],[1436.04130046]
0.0,[3.07573487e-107],[1404.35569135]
-2.220446049250313e-16,[4.42212724e-117],[1387.65728879]
-2.220446049250313e-16,[1.07078912e-107],[1358.1869447]
-4.440892098500626e-16,[1.77492687e-94],[1252.05488856]
0.0,[2.25909742e-99],[1155.40197754]
0.0,[2.6906811e-106],[1088.31311275]
1.1102230246251565e-16,[2.23276086e-107],[1096.71644981]
3.3306690738754696e-16,[3.76691435e-112],[1120.20856072]
-2.220446049250313e-16,[4.84111869e-115],[1109.52798761]
1.1102230246251565e-16,[8.65995423e-118],[1120.89773619]
-2.220446049250313e-16,[1.50615152e-112],[1161.84331198]
-2.220446049250313e-16,[4.90206216e-110],[1157.93933345]
0.0,[4.11778775e-112],[1241.82956112]
0.0,[1.59339409e-58],[918.92633057]
0.0,[3.7029525e-82],[1325.07194489]
-2.220446049250313e-16,[1.902453e-100],[1395.61378868]
1.1102230246251565e-16,[1.33437407e-106],[1432.04267913]
0.0,[2.40414693e-107],[1438.91574276]
2.220446049250313e-16,[2.08351897e-113],[1423.45424517]
2.220446049250313e-16,[2.70313833e-116],[1392.2747348]
-2.220446049250313e-16,[2.01676254e-106],[1328.90644866]
0.0,[1.91186168e-94],[1186.83544922]
0.0,[4.23252175e-98],[1095.24425551]
0.0,[1.15057539e-114],[1093.42060882]
2.220446049250313e-16,[4.82226096e-112],[1105.03624292]
-2.220446049250313e-16,[2.38898779e-110],[1084.23935355]
-2.220446049250313e-16,[1.28988806e-112],[1057.19903205]
0.0,[8.69309177e-119],[1097.58084645]
-2.220446049250313e-16,[1.0309376e-109],[1131.59926949]
1.1102230246251565e-16,[8.16304992e-116],[1156.39264036]
0.0,[1.08001232e-58],[862.75635125]
